word_count,char_count,has_urgency_keyword,exclamation_count,question_mark_count,caps_ratio,sentiment_polarity,mention_count,priority
14.0,70.0,0,0.0,2.0,0.0,-0.3125,0.0,NORMAL
19.0,89.0,1,0.0,1.0,0.0,0.0,1.0,URGENT
22.0,114.0,1,1.0,1.0,0.0,0.0,0.0,URGENT
18.0,106.0,0,0.0,0.0,0.0,0.0,1.0,NORMAL
15.0,84.0,0,0.0,1.0,0.0,-0.45,0.0,URGENT
19.0,135.0,0,2.0,0.0,0.10526315789473684,-0.6666666666666666,2.0,URGENT
12.0,63.0,0,0.0,0.0,0.0,0.5,1.0,NORMAL
22.0,116.0,0,0.0,1.0,0.045454545454545456,0.0,0.0,NORMAL
23.0,117.0,0,0.0,0.0,0.043478260869565216,0.5,1.0,NORMAL
4.0,17.0,0,0.0,0.0,1.0,0.0,0.0,URGENT
40.0,228.0,0,0.0,0.0,0.0,-0.03916666666666666,0.0,NORMAL
7.0,45.0,0,0.0,1.0,0.0,0.0,1.0,URGENT
9.0,58.0,0,0.0,0.0,0.0,0.15000000000000002,1.0,NORMAL
22.0,121.0,0,1.0,0.0,0.0,0.8333333333333333,0.0,NORMAL
44.0,224.0,1,1.0,0.0,0.0,0.25,0.0,URGENT
6.0,38.0,0,2.0,0.0,0.16666666666666666,0.0,1.0,URGENT
19.0,106.0,0,3.0,0.0,0.0,-0.2586805555555555,0.0,URGENT
25.0,140.0,0,0.0,1.0,0.0,0.2333333333333333,0.0,URGENT
16.0,98.0,0,0.0,0.0,0.0,-0.023809523809523808,0.0,NORMAL
51.0,245.0,0,0.0,0.0,0.0,-0.11666666666666665,0.0,NORMAL
9.0,50.0,0,0.0,0.0,0.0,0.0,0.0,NORMAL
21.0,143.0,0,0.0,0.0,0.0,0.0,0.0,URGENT
19.0,109.0,1,0.0,0.0,0.0,0.0,0.0,URGENT
22.0,130.0,0,0.0,1.0,0.09090909090909091,0.225,0.0,URGENT
9.0,42.0,0,0.0,1.0,0.0,0.0,0.0,URGENT
22.0,117.0,0,0.0,1.0,0.0,0.0,1.0,NORMAL
24.0,122.0,0,0.0,0.0,0.0,-0.125,0.0,NORMAL
25.0,116.0,0,0.0,0.0,0.0,-0.2,0.0,NORMAL
10.0,62.0,0,0.0,0.0,0.0,0.16,0.0,NORMAL
20.0,131.0,0,0.0,2.0,0.0,-0.22916666666666666,1.0,URGENT
